Real cluster_data[] = {
// mass [M_sun]  total_SF [M_sun]  r [kpc]  phi [rad]  z [kpc],
6.51066e+04,6.51066e+04,1.53131e+00,4.81961e+00,-5.70176e-03,
1.15546e+04,7.66612e+04,3.71589e-01,5.42864e+00,-9.49883e-03,
1.22482e+04,8.89094e+04,3.08855e-01,3.57644e-01,-1.51892e-03,
1.15012e+05,2.03921e+05,6.71301e-01,3.71184e+00,3.56084e-03,
9.55350e+04,2.99456e+05,2.80285e-01,4.78333e+00,5.71318e-03,
1.10168e+04,3.10473e+05,7.69762e-01,8.44019e-01,4.84076e-03,
2.40735e+04,3.34547e+05,2.73283e-01,2.63369e+00,-7.21714e-03,
3.74941e+04,3.72041e+05,1.97035e-01,4.95660e+00,-8.05132e-03,
5.91970e+04,4.31238e+05,8.77779e-01,8.59412e-01,6.88679e-03,
1.71059e+04,4.48344e+05,2.24135e-01,4.14088e-01,-5.05422e-03,
7.96589e+04,5.28002e+05,3.02921e-01,2.95615e+00,8.59975e-03,
1.04981e+04,5.38501e+05,6.52144e-01,7.36732e-01,8.59780e-03,
1.60367e+04,5.54537e+05,6.17417e-01,2.70904e+00,7.09877e-03,
6.08893e+04,6.15427e+05,5.58024e-01,4.27898e+00,-7.07643e-03,
1.28237e+04,6.28250e+05,5.20688e-01,9.74450e-01,9.63151e-03,
1.11524e+04,6.39403e+05,7.01492e-01,4.29130e+00,3.07206e-03,
2.41717e+05,8.81119e+05,8.94110e-01,5.42995e+00,1.28010e-03,
6.07553e+04,9.41875e+05,6.61873e-01,5.40011e-01,-1.01444e-03,
1.86688e+04,9.60543e+05,5.61209e-01,3.44648e+00,5.62815e-06,
1.98857e+04,9.80429e+05,8.45699e-01,3.56765e+00,-2.04218e-03,
2.97676e+04,1.01020e+06,1.26110e+00,2.90172e+00,-7.50077e-03,
2.56912e+04,1.03589e+06,7.12254e-01,4.47143e+00,4.78580e-03,
6.84597e+04,1.10435e+06,1.06247e-01,2.82761e+00,9.69176e-03,
2.47895e+04,1.12914e+06,6.57982e-01,3.71660e+00,-8.12981e-03,
1.12847e+04,1.14042e+06,1.10105e+00,5.36872e+00,-6.98148e-03,
1.14496e+04,1.15187e+06,8.83609e-01,1.74135e+00,9.11654e-03,
1.55818e+04,1.16745e+06,1.20873e+00,1.12146e-02,-4.65966e-03,
2.35105e+04,1.19096e+06,4.05917e-01,7.00369e-01,9.58004e-03,
1.13906e+05,1.30487e+06,6.17848e-01,4.58973e+00,9.87827e-03,
6.59101e+04,1.37078e+06,1.23799e+00,8.38183e-01,7.28280e-03,
4.93307e+04,1.42011e+06,5.05201e-01,4.00417e+00,2.82409e-03,
1.77653e+04,1.43788e+06,4.86674e-01,9.89469e-01,7.90328e-04,
4.01152e+04,1.47799e+06,8.37353e-01,4.70358e+00,-9.51289e-03,
1.65364e+04,1.49453e+06,5.69354e-01,4.60346e+00,-1.96843e-04,
1.38950e+04,1.50842e+06,1.90544e-01,4.09120e+00,-1.28008e-03,
2.06587e+04,1.52908e+06,4.28123e-01,3.36351e-01,-9.72995e-03,
1.23989e+04,1.54148e+06,1.41043e-01,1.93329e+00,-7.42199e-03,
2.51499e+04,1.56663e+06,1.07316e+00,3.43313e-01,1.76411e-03,
1.01746e+04,1.57680e+06,1.11426e+00,1.82019e-01,3.45737e-05,
2.39656e+04,1.60077e+06,1.41313e+00,7.40385e-01,-9.35449e-03,
